PNAME,ORISPL,PLPRMFL,PLFUELCT,NAMEPCAP
1420 Coil Av #C,57310,SUN,SOLAR,1.3
2081 Terzian Solar Project,58918,SUN,SOLAR,1.2
2097 Helton Solar Project,58920,SUN,SOLAR,1.5
2127 Harris Solar Project,58919,SUN,SOLAR,1.3
2555 E Olympic Bl,57871,SUN,SOLAR,1
85 A,52162,WND,WIND,14.1
85 B,52163,WND,WIND,21.2
A G Wishon,293,WAT,HYDRO,12.8
ABEC #2 dba West-Star Dairy,61501,OBG,BIOMASS,1
ABEC #3 dba Lakeview Dairy,61502,OBG,BIOMASS,1
ABEC #4 dba CE&S Dairy,61503,OBG,BIOMASS,1
ABEC Bidart-Old River LLC,58699,OBG,BIOMASS,2
Acorn I Energy Storage LLC,62874,MWH,OTHF,2
"Adelanto Solar II, LLC",59440,SUN,SOLAR,7
Adelanto Solar Project,57305,SUN,SOLAR,10
"Adelanto Solar, LLC",59441,SUN,SOLAR,20
Adera Solar,60027,SUN,SOLAR,20
Adobe San Jose,57811,NG,GAS,1.2
Adobe Solar,57651,SUN,SOLAR,20
Aera San Ardo Cogen Facility,55184,NG,GAS,6.2
Aera South Belridge Cogen Facility,55185,NG,GAS,9
Aerojet I,57697,SUN,SOLAR,3
Aerojet II,57698,SUN,SOLAR,2.7
Aerolease,61718,SUN,SOLAR,1.5
AES Alamitos,315,NG,GAS,"2,055.00"
AES Alamitos Energy Center,62115,NG,GAS,678
"AES ES ALAMITOS, LLC",61204,MWH,OTHF,100
AES Huntington Beach,335,NG,GAS,"1,021.00"
AES Huntington Beach Energy Project,62116,NG,GAS,678
AES Redondo Beach,356,NG,GAS,"1,316.40"
Agnews Power Plant,50748,NG,GAS,32
Agua Mansa Power,55951,NG,GAS,60.5
Aidlin Geothermal Power Plant,52158,GEO,GEOTHERMAL,25
Alameda,7450,NG,GAS,54.8
Alamo,905,WAT,HYDRO,19.6
Alamo Solar,59469,SUN,SOLAR,20
Algonquin Power Sanger,57564,NG,GAS,74
"Algonquin SKIC 10 Solar, LLC",60242,SUN,SOLAR,10
Algonquin SKIC20 Solar LLC,59412,SUN,SOLAR,20
Almond,62546,SUN,SOLAR,19.9
Almond Power Plant,7315,NG,GAS,223.5
Alpaugh 50,58003,SUN,SOLAR,50
Alpaugh North,58002,SUN,SOLAR,20
Alpine Solar,57295,SUN,SOLAR,132
Alta Mesa Project Phase IV,55352,WND,WIND,40
Alta Powerhouse,214,WAT,HYDRO,2
Alta Wind Energy Center I,57282,WND,WIND,150
Alta Wind Energy Center II,57291,WND,WIND,150
Alta Wind Energy Center III,57292,WND,WIND,150
Alta Wind Energy Center IV,57293,WND,WIND,102
Alta Wind Energy Center V,57294,WND,WIND,168
Alta Wind VIII,57835,WND,WIND,150
Alta Wind X,58394,WND,WIND,138
Alta Wind XI,58395,WND,WIND,90
AltaGas Pomona Energy Inc.,50300,MWH,OTHF,66
AltaGas Ripon Energy Inc.,50299,NG,GAS,49.5
Altamont Gas Recovery,50571,LFG,BIOMASS,8.6
Altamont Midway Ltd,50001,WND,WIND,10.9
Altech III,50485,WND,WIND,25.1
Alvarado Hydro Facility,54242,WAT,HYDRO,2.1
Amazon - Patterson PV,61377,SUN,SOLAR,2.5
Amazon San Bernardino,59800,NG,GAS,1.1
Amedee Geothermal Venture I,50964,GEO,GEOTHERMAL,3
Ameresco Butte County,57771,LFG,BIOMASS,2.3
Ameresco Chiquita Canyon,56898,LFG,BIOMASS,9.2
Ameresco Forward,58437,LFG,BIOMASS,4.4
Ameresco Johnson Canyon,58397,LFG,BIOMASS,1.4
Ameresco Keller Canyon,56897,LFG,BIOMASS,3.8
Ameresco Ox Mountain,56895,LFG,BIOMASS,11.4
Ameresco San Joaquin,58436,LFG,BIOMASS,4.4
Ameresco Santa Cruz Energy,56428,LFG,BIOMASS,3
Ameresco Vasco Road,58435,LFG,BIOMASS,4.4
American Canyon Solar,62687,SUN,SOLAR,3
"American Kings Solar, LLC",60777,SUN,SOLAR,123
Ampersand Chowchilla Biomass LLC,56706,WDS,BIOMASS,12.5
Anaheim Combustion Turbine,7693,NG,GAS,49.2
Anaheim Solar Energy Plant,59416,SUN,SOLAR,2.1
Angels,215,WAT,HYDRO,1.4
Anheuser-Busch #2,59331,WND,WIND,1.6
Antelope Big Sky Ranch,60279,SUN,SOLAR,20
Antelope DSR 1,60186,SUN,SOLAR,50
Antelope DSR 2,60187,SUN,SOLAR,5
Antelope DSR 3,61265,SUN,SOLAR,20
Antelope Expansion 1B,62320,SUN,SOLAR,17
Antelope Expansion 2,61264,SUN,SOLAR,105
Antelope Expansion 3A,62673,SUN,SOLAR,15
Antelope Expansion 3B,62674,SUN,SOLAR,5
"AP North Lake I, LP",59610,SUN,SOLAR,20
APP Prune A-D,62577,NG,GAS,4
Apple Campus 2 Fuel Cell,59557,LFG,BIOMASS,4
Apple Campus 2 PV,59473,SUN,SOLAR,14.4
Aquamarine,62547,SUN,SOLAR,250
Argus Cogen Plant,10684,RC,COAL,62.5
Arrache 4006,58445,SUN,SOLAR,2
Arrache 4013,58446,SUN,SOLAR,1.5
Arrache 8083,58447,SUN,SOLAR,4
Aspiration G,59737,SUN,SOLAR,9
ASTI,58889,SUN,SOLAR,1
AT&T Anaheim,61154,NG,GAS,1.3
AT&T Holger,61153,NG,GAS,1.3
ATT  Kelvin,62573,NG,GAS,1
ATT Van Nyus,62574,NG,GAS,1
Atwell Island,58366,SUN,SOLAR,20.2
Atwell Island West Solar,59414,SUN,SOLAR,20
AV Solar Ranch One,57378,SUN,SOLAR,253
Avenal Park,57359,SUN,SOLAR,6
AVS Lancaster 1,60085,SUN,SOLAR,3.7
Axium Modesto Solar,58039,SUN,SOLAR,25
Azusa,6449,WAT,HYDRO,3
B Braun Medical,50200,NG,GAS,6.1
Badger Creek Limited,10650,NG,GAS,46
Baker Creek Hydroelectric,59428,WAT,HYDRO,1.5
Bakersfield 111,59948,SUN,SOLAR,1.4
Bakersfield College Solar 01,57655,SUN,SOLAR,1.1
Bakersfield Industrial PV 1,61118,SUN,SOLAR,1
Bakersfield PV 1,61117,SUN,SOLAR,5.3
Balch 1,217,WAT,HYDRO,31
Balch 2,218,WAT,HYDRO,97.2
Barre Generating Station,56474,NG,GAS,49.8
"Bayshore Solar A, LLC",60481,SUN,SOLAR,20
"Bayshore Solar B, LLC",60474,SUN,SOLAR,20
"Bayshore Solar C, LLC",60475,SUN,SOLAR,20
Beacon BESS 1,61431,MWH,OTHF,20
Beacon Solar Plant Site 2,59309,SUN,SOLAR,47.3
Beacon Solar Plant Site 5,59308,SUN,SOLAR,37.8
Bear Canyon Power Plant,10469,GEO,GEOTHERMAL,24.4
Bear Creek,50156,WAT,HYDRO,3.2
Bear Creek Solar,58508,SUN,SOLAR,1.5
Bear Mountain Limited,10649,NG,GAS,46
Bear Valley,457,WAT,HYDRO,1.4
Bear Valley Power Plant,56346,NG,GAS,8.4
Beardsley,414,WAT,HYDRO,10
Belden,219,WAT,HYDRO,117.9
Beringer,58890,SUN,SOLAR,1.2
Berry Cogen,50170,NG,GAS,38.7
Berry Cogen Tanne Hills 18,50622,NG,GAS,17.6
Berry NMW Cogens,62176,NG,GAS,9.6
Berry Placerita Cogen,52096,NG,GAS,42.8
Bidwell Ditch Project,10880,WAT,HYDRO,1.8
Big Creek 1,317,WAT,HYDRO,88.4
Big Creek 2,318,WAT,HYDRO,66.6
Big Creek 2A,322,WAT,HYDRO,110
Big Creek 3,319,WAT,HYDRO,174.5
Big Creek 4,320,WAT,HYDRO,100
Big Creek 8,321,WAT,HYDRO,75
Big Creek Water Works,10282,WAT,HYDRO,5
Big Pine Creek,391,WAT,HYDRO,3.2
Big Valley Power LLC,10288,WDS,BIOMASS,9.3
Biola University,54296,NG,GAS,5.5
Bishop Creek 2,323,WAT,HYDRO,7.3
Bishop Creek 3,324,WAT,HYDRO,8.4
Bishop Creek 4,325,WAT,HYDRO,8.2
Bishop Creek 5,326,WAT,HYDRO,4.5
Bishop Creek 6,327,WAT,HYDRO,1.6
Black Butte,7229,WAT,HYDRO,6.1
Black Rock I,57477,GEO,GEOTHERMAL,70
Black Rock II,57478,GEO,GEOTHERMAL,70
Black Rock III,57479,GEO,GEOTHERMAL,70
Blacksand Generating Facility,56090,PRG,OTHF,8
Blackwell Solar Park,59524,SUN,SOLAR,20
Blue Lake Power LLC,10764,WDS,BIOMASS,13.8
Blue Shld Of Cal- El Dorado Hlls Mtr B,62077,SUN,SOLAR,2.1
Blythe Energy,55295,NG,GAS,591
"Blythe Solar 110, LLC",60093,SUN,SOLAR,109.8
"Blythe Solar II, LLC",60092,SUN,SOLAR,131.2
"Blythe Solar III, LLC",60094,SUN,SOLAR,124.8
"Blythe Solar IV, LLC",60095,SUN,SOLAR,124.8
Bolthouse Farms Fuel Cell,61845,NG,GAS,5
Bolthouse S&P and Rowen Farms Solar,56862,SUN,SOLAR,1.2
Borden Solar Farm,59531,SUN,SOLAR,50
Borel,328,WAT,HYDRO,12
Borrego Springs Energy Storage,60565,MWH,OTHF,1.5
Bottle Rock Power,902,GEO,GEOTHERMAL,55
"Bowerman Power LFG, LLC",59461,LFG,BIOMASS,23.8
Bowman,50546,WAT,HYDRO,3.6
Box Canyon Dam,50179,WAT,HYDRO,5
BP Carson Refinery,50540,OG,OFSL,13.5
Brawley,383,DFO,OIL,23
Brea Expansion Plant,58007,LFG,BIOMASS,35.7
Britton Powerhouse,56820,WAT,HYDRO,2.8
Broadridge Cogen,57580,NG,GAS,5
Broadway (CA),420,NG,GAS,167
Brookfield Tehachapi 1,57962,WND,WIND,102
Buckeye Geothermal Power Plant,57180,GEO,GEOTHERMAL,56.9
Bucks Creek,220,WAT,HYDRO,66
Buena Vista Biomass Power,58472,WDS,BIOMASS,22.5
Buena Vista Energy LLC,56446,WND,WIND,38
Buidling L,60154,SUN,SOLAR,1
Building F,60151,SUN,SOLAR,1.3
Building G,60153,SUN,SOLAR,1.2
Burney Creek,10706,WAT,HYDRO,3
Burney Forest Products,10652,WDS,BIOMASS,31
Butt Valley,221,WAT,HYDRO,40
Butte College Main Campus Solar,57970,SUN,SOLAR,3.5
C P Kelco San Diego Plant,52147,NG,GAS,28
C&H Sugar Plant,58251,PUR,OTHF,8
CA Dept of Public Health at Richmond,60428,SUN,SOLAR,2.2
"CA Flats Solar 130, LLC",60033,SUN,SOLAR,130
"CA Flats Solar 150, LLC",60034,SUN,SOLAR,150
Cabazon Wind Partners,56011,WND,WIND,41
Cabrillo Power I Encina Power Station,302,NG,GAS,999.6
Calabasas Gas to Energy Facility,57163,LFG,BIOMASS,13.8
California Institute of Technology,10262,NG,GAS,24.3
California PV Energy at ISD WWTP,59283,SUN,SOLAR,1
California State University San Bernardi,57544,NG,GAS,1.4
California Valley Solar Ranch,57439,SUN,SOLAR,249.8
Calipatria Solar Farm,59088,SUN,SOLAR,20
Calistoga Power Plant,50066,GEO,GEOTHERMAL,176.4
CalPeak Power - Border,55510,NG,GAS,60.5
CalPeak Power - Enterprise,55513,NG,GAS,58.9
CalPeak Power - Panoche,55508,NG,GAS,110.4
CalPeak Power - Vaca Dixon,55499,NG,GAS,60.5
"Calpine Gilroy Cogen, LP",10034,NG,GAS,130
Calpine Sutter Energy Center,55112,NG,GAS,636
CalRenew-1,56768,SUN,SOLAR,5
Caltech Central,57460,OBG,BIOMASS,1.1
Camanche,537,WAT,HYDRO,10.8
Cameron Ridge LLC,10586,WND,WIND,59.6
Camino,430,WAT,HYDRO,157.8
Camp Far West,531,WAT,HYDRO,7.2
Campo Verde Solar,58467,SUN,SOLAR,147.4
Cantua Solar Station,57522,SUN,SOLAR,20
Canyon Crest Academy,60568,MWH,OTHF,1
Canyon Power Plant,57027,NG,GAS,200
Caribou 1,222,WAT,HYDRO,73.8
Caribou 2,223,WAT,HYDRO,117.9
Carlsbad Energy Center,59002,NG,GAS,764.5
Carson Cogeneration,7527,NG,GAS,125.5
Carson Cogeneration Company,10169,NG,GAS,55.8
"Cascade Energy Storage, LLC",61801,MWH,OTHF,25
Cascade Solar,58590,SUN,SOLAR,18.5
Castaic,392,WAT,HYDRO,"1,682.00"
Castle Rock Vineyards,57870,SUN,SOLAR,1
Castor Solar,60277,SUN,SOLAR,1.5
"Catalina Solar 2, LLC",59334,SUN,SOLAR,18
Catalina Solar LLC,57708,SUN,SOLAR,110
CBS Studio Center,58440,NG,GAS,2.4
CBS Television City,58253,SUN,SOLAR,1.6
CCCSD Wastewater Treatment Plnt,57573,NG,GAS,3.5
CDCR (CA) - Corcoran State Prison,61620,SUN,SOLAR,5
CDCR (CA) - Pleasant Valley State Prison,59748,SUN,SOLAR,1.2
CDCR (CA) - Solano State Prison,61619,SUN,SOLAR,1.1
CDCR (CA) - Wasco State Prison,61621,SUN,SOLAR,1.5
CE Leathers,10631,GEO,GEOTHERMAL,45.5
CE Turbo LLC,55984,GEO,GEOTHERMAL,11.5
CE&P Imperial Valley 1,60670,OTH,OTHF,50
CED Avenal,60077,SUN,SOLAR,15.8
CED Ducor 1,60078,SUN,SOLAR,20
CED Ducor 2,60079,SUN,SOLAR,20
CED Ducor 3,60080,SUN,SOLAR,15
CED Ducor 4,60081,SUN,SOLAR,20
Center Generating Station,56475,NG,GAS,59.8
Centerville PH,224,WAT,HYDRO,6.4
Centinela Solar Energy,58430,SUN,SOLAR,174.8
Central Antelope Dry Ranch B LLC,60281,SUN,SOLAR,3
Central Antelope Dry Ranch C,59963,SUN,SOLAR,20
Central Utilities Plant LAX,10048,NG,GAS,8
Central Utilities Plant LAX 2,58258,NG,GAS,9.2
Central Valley Ag Power,58978,OBG,BIOMASS,1.5
Century Generating Facility,55934,NG,GAS,44.8
CES Placerita Power Plant,10677,NG,GAS,150
CFW Solar X LLC - Vaughn,62378,SUN,SOLAR,1.6
Chaffey College Rancho Cucamonga Campus,62150,SUN,SOLAR,4
Chalk Cliff Limited,50003,NG,GAS,46
Chalk Mountain Powerhouse,56821,WAT,HYDRO,2.2
Chicago Park,412,WAT,HYDRO,44
Childrens Hospital,10175,NG,GAS,12.8
Chili Bar,225,WAT,HYDRO,7
Chowchilla II,56185,NG,GAS,49.6
Chuckawalla Solar,58506,SUN,SOLAR,4
Chuckawalla Valley State Prison,57011,SUN,SOLAR,1
Chula Vista Energy Center,55540,NG,GAS,44
"CID Solar, LLC",59183,SUN,SOLAR,20
Citizen B,59738,SUN,SOLAR,5
Citizens Imperial Solar,62052,SUN,SOLAR,30
City of Hayward WWTP,58525,OBG,BIOMASS,2.1
City of Madera WWTP,57682,SUN,SOLAR,1.2
City of Palo Alto,57714,NG,GAS,4.4
City of Soledad Water Reclamation,59329,WND,WIND,1
City of Tulare Water Facility,59395,SUN,SOLAR,3
Civic Center,10623,NG,GAS,34.5
Clear Lake Hydro Project,50128,WAT,HYDRO,2.5
Clearwater Power Plant,56356,NG,GAS,49
Cloverdale Solar Center,60813,SUN,SOLAR,1
Cloverdale Solar I,58949,SUN,SOLAR,1.5
Coachella,6060,NG,GAS,92.4
Coal Canyon,226,WAT,HYDRO,1
Coalinga 25D Cogen,52086,NG,GAS,13.6
Coalinga 6C Cogen,52083,NG,GAS,6.8
Coalinga Cogeneration Facility,50131,NG,GAS,38.4
Coalinga Cogeneration Facility,50750,NG,GAS,6.8
Coca Cola American Canyon,57807,NG,GAS,1.1
Cold Canyon 1,58379,LFG,BIOMASS,1.5
Coleman PH,227,WAT,HYDRO,12.1
Colgate,454,WAT,HYDRO,315
Colgreen North Shore Solar Farm,60825,SUN,SOLAR,74.8
Collierville Powerhouse,54555,WAT,HYDRO,253
Collins Pine Project,10661,WDS,BIOMASS,12
Colon PV,59798,SUN,SOLAR,1.3
"Colton Solar One, LLC",59597,SUN,SOLAR,2.5
"Colton Solar Two, LLC",59598,SUN,SOLAR,1
Columbia 3,58502,SUN,SOLAR,10
"Columbia Solar Energy, LLC",59979,SUN,SOLAR,19.2
Colusa Generating Station,56532,NG,GAS,712.4
Combie South,846,WAT,HYDRO,1.5
Commerce Refuse To Energy,10090,MSW,BIOMASS,12
Community Solar 1,58545,SUN,SOLAR,5.7
Con Dios Solar 11,59264,SUN,SOLAR,1.5
Con Dios Solar 3,59263,SUN,SOLAR,1.5
Control Gorge,393,WAT,HYDRO,37.5
Coolwater,329,NG,GAS,727.3
Copco 1,294,WAT,HYDRO,20
Copco 2,295,WAT,HYDRO,27
Coram Energy LLC,54299,WND,WIND,4.4
Coram Energy LLC (ECT),54298,WND,WIND,10.8
Coram Tehachapi,54750,WND,WIND,6.5
Corcoran,60450,SUN,SOLAR,1.1
Corcoran Solar,58374,SUN,SOLAR,20
Corcoran Solar 2,59413,SUN,SOLAR,19.8
Corcoran Solar 3,59900,SUN,SOLAR,20
"CoreSite Real Estate 1656 McCarthy, L.P.",61475,DFO,OIL,5
"CoreSite Real Estate 2901 Coronado, L.P.",61476,DFO,OIL,10
"CoreSite Real Estate 2972 Stender, L.P.",61464,DFO,OIL,12
"CoreSite Real Estate 3032 Coronado, L.P.",61482,DFO,OIL,30
CoreSite Real Estate 55 S. Market Street,61474,DFO,OIL,8
Corona,480,WAT,HYDRO,2.9
"Corona Energy Partners, Ltd",10635,NG,GAS,47
Coronal Lost Hills,59638,SUN,SOLAR,20
Coronus Adelanto West 1,59536,SUN,SOLAR,1.5
Coronus Adelanto West 2,59537,SUN,SOLAR,1.5
Coso Energy Developers,10875,GEO,GEOTHERMAL,90
Coso Finance Partners,10873,GEO,GEOTHERMAL,92.2
Coso Power Developers,10874,GEO,GEOTHERMAL,90
Cosumnes Power Plant,55970,OG,OFSL,530
Cottonwood,394,WAT,HYDRO,1.6
"Cottonwood Solar, LLC (City of Corcoran)",59087,SUN,SOLAR,12
"Cottonwood Solar, LLC (Goose Lake)",59086,SUN,SOLAR,12
"Cottonwood Solar, LLC Cottonwood Carport",59703,SUN,SOLAR,1
County of San Diego SBRC,62242,SUN,SOLAR,1.3
Covanta Delano Energy,10840,WDS,BIOMASS,57
Covanta Mendota,10837,WDS,BIOMASS,28
Covanta Stanislaus Energy,50632,MSW,BIOMASS,24
Cove Hydroelectric,10707,WAT,HYDRO,5
Cow Creek,229,WAT,HYDRO,1.4
Coyote Creek,483,WAT,HYDRO,3.1
Crafton Hills College Solar Farm,58170,SUN,SOLAR,1.3
Crazy Horse Solar Project,61285,SUN,SOLAR,2
Creed Energy Center,55625,NG,GAS,47
Cresta,231,WAT,HYDRO,73.8
Crockett Cogen Project,55084,NG,GAS,247.4
Crown Cooling Facility,58527,SUN,SOLAR,1
CSD 2 - Heritage High,59130,SUN,SOLAR,1.3
CSD 2- Freedom High,59129,SUN,SOLAR,1.1
CSU East Bay,57042,NG,GAS,1.4
CSU Fresno Solar Project,56813,SUN,SOLAR,1
CSU Long Beach Lots 7 & 14,62028,SUN,SOLAR,4.5
CSU Northridge Plant,58422,NG,GAS,2.8
CSUCI Site Authority,50851,NG,GAS,31.1
CSUF Nutwood Solar,60979,SUN,SOLAR,1.9
CSUF State College,60978,SUN,SOLAR,1
CSUF Trigeneration,58169,NG,GAS,8.5
CTV Power Purchase Contract Trust,54300,WND,WIND,4.6
"Cuyama Solar, LLC",60043,SUN,SOLAR,40
Cuyamaca Peak Energy,55512,NG,GAS,48.7
Cymric 31X Cogen,52081,NG,GAS,6.8
Cymric 36W Cogen,52104,NG,GAS,12.4
Cymric 6Z Cogen,52082,NG,GAS,6.8
De Sabla,232,WAT,HYDRO,18.4
Deadwood Creek,7507,WAT,HYDRO,2
Deer Creek PH,233,WAT,HYDRO,5.5
Del Ranch Company,10632,GEO,GEOTHERMAL,45.5
"Delano Energy Center, LLC",58122,NG,GAS,48.5
Delano Land 1,61116,SUN,SOLAR,1
"Delta Energy Center, LLC",55333,NG,GAS,943.5
Depot Park Solar System,58119,SUN,SOLAR,3
Dept of General Services -FTB,60861,SUN,SOLAR,2.7
Desert Green Solar Farm LLC,57959,SUN,SOLAR,6.3
"Desert Harvest, LLC",62177,SUN,SOLAR,150
Desert Hot Springs Solar,58514,SUN,SOLAR,2.3
Desert Quartzite,59871,SUN,SOLAR,580
"Desert Sunlight 250, LLC",58542,SUN,SOLAR,249.7
"Desert Sunlight 300, LLC",57993,SUN,SOLAR,313.7
Desert View Power,10300,WDS,BIOMASS,55.5
DESI-1 Battery Energy Storage Facility,60699,MWH,OTHF,2.4
DESI-2 Battery Storage Facility,62460,MWH,OTHF,1.4
Devil Canyon,436,WAT,HYDRO,276.2
DGS Central Utility Plant,58593,DFO,OIL,3.9
Diablo Canyon,6099,NUC,NUCLEAR,"2,323.00"
Diablo Energy Storage,62175,MWH,OTHF,250
Diablo Winds LLC,56271,WND,WIND,18
Diamond Valley Lake,7942,WAT,HYDRO,39.6
Diamond Valley Solar Project,59405,SUN,SOLAR,1.3
Difwind Farms Ltd I,54681,WND,WIND,7.3
Difwind Farms Ltd II,54682,WND,WIND,5.5
Difwind Farms Ltd V,54685,WND,WIND,11.7
Difwind Farms Ltd VI,54686,WND,WIND,27.1
Difwind Farms Ltd VII,10815,WND,WIND,24
Difwind Farms Ltd VIII,54687,WND,WIND,15
Dillon Wind LLC,56791,WND,WIND,45
Dinosaur Point,10005,WND,WIND,17.4
Dinuba Energy,60100,WDS,BIOMASS,11.5
Dinuba Wastewater Treatment Plant,57827,SUN,SOLAR,1
Dion R Holm,380,WAT,HYDRO,156.8
