name,typ,node,maxcap,marginal_cost,mincap,var_om,no_load,st_cost,ramp,minup,mindn
VANCOUVER,ngcc,bus_13265,248.0,16.91,115.79,3,744.0,17360.0,248.0,4,4
TACOMA,ngcc,bus_10209,560.1,12.272,185.21,3,1680.3000000000002,39207.0,560.1,4,4
CHEHALIS,ngcc,bus_10209,698.01,17.583333333333332,212.9,3,2094.0299999999997,48860.7,698.01,4,4
ANACORTES,ngcc,bus_10228,166.8,11.865,46.7,3,500.40000000000003,11676.0,166.8,4,4
SUMAS,ngcc,bus_10228,125.5,7.22,58.73,3,376.5,8785.0,125.5,4,4
BURLINGTON,ngcc,bus_10228,376.0,15.8475,118.95,3,1128.0,26320.0,376.0,4,4
BLAINE,ngcc,bus_10228,169.2,14.365,54.89,3,507.59999999999997,11844.0,169.2,4,4
FERNDALE,ngcc,bus_10228,285.51,15.803333333333333,60.37000000000001,3,856.53,19985.7,285.51,4,4
GOLDENDALE,ngcc,bus_13669,284.3,15.195,60.76,3,852.9000000000001,19901.0,284.3,4,4
RATHDRUM,ngcc,bus_10677,467.9,15.78,125.37,3,1403.6999999999998,32753.0,467.9,4,4
CENTRALIA,coal,bus_10859,1459.8,10.715,669.44,4,4379.4,102186.0,481.734,12,12
ELMA,ngcc,bus_10859,650.01,17.220000000000002,143.54,3,1950.03,45500.7,650.01,4,4
PASCO,ngcc,bus_10609,45.6,3.455,10.11,3,136.8,3192.0,45.6,4,4
LONGVIEW,ngcc,bus_13693,319.0,15.695,62.46,3,957.0,22330.0,319.0,4,4
CLATSKANIE,ngcc,bus_13693,1360.52,12.846666666666668,364.52,3,4081.56,95236.4,1360.52,4,4
KLAMATHFALLS,ngcc,bus_13366,117.6,8.057500000000001,30.82,3,352.79999999999995,8232.0,117.6,4,4
NEWPLYMOUTH,ngcc,bus_13446,318.5,16.075,113.28,3,955.5,22295.0,318.5,4,4
HERMISTON,ngcc,bus_13509,1310.6,17.372857142857143,566.03,3,3931.7999999999997,91742.0,1310.6,4,4
BOARDMAN,ngcc,bus_13420,266.3,15.775,78.25,3,798.9000000000001,18641.0,266.3,4,4
KLAMATHFALLS_2,ngcc,bus_20390,501.51,10.516666666666667,134.3,3,1504.53,35105.7,501.51,4,4
EUREKA,ngcc,bus_20390,166.97999999999996,14.865,56.29,3,500.9399999999999,11688.599999999997,166.97999999999996,4,4
BOARDMAN_3,ngcc,bus_13698,929.2,11.89,288.65,3,2787.6000000000004,65044.0,929.2,4,4
MOUNTAINHOME,ngcc,bus_74001,310.9,6.007999999999999,93.78,3,932.6999999999999,21763.0,310.9,4,4
MCCLELLAN,ngcc,bus_20136,77.0,18.03,23.9,3,231.0,5390.0,77.0,4,4
YUBACITY,ngcc,bus_20136,258.8,16.541666666666668,79.5,3,776.4000000000001,18116.0,258.8,4,4
ROSEVILLE,ngcc,bus_20136,164.01,16.156666666666666,45.03,3,492.03,11480.699999999999,164.01,4,4
ELKGROVE,ngcc,bus_20136,35.75,17.72,12.61,3,107.25,2502.5,35.75,4,4
SACRAMENTO,ngcc,bus_20136,367.3,11.496666666666664,112.77,3,1101.9,25711.0,367.3,4,4
REDBLUFF,ngcc,bus_20136,46.38000000000001,7.848333333333333,13.7,3,139.14000000000004,3246.600000000001,46.38000000000001,4,4
LODI,ngcc,bus_20136,54.8,17.335,14.73,3,164.39999999999998,3836.0,54.8,4,4
MAXWELL,ngcc,bus_21596,741.01,18.3825,198.23,3,2223.0299999999997,51870.7,741.01,4,4
ANTIOCH,ngcc,bus_21596,828.0,17.825,166.97,3,2484.0,57960.0,828.0,4,4
HAYWARD,ngcc,bus_21596,654.99,18.096666666666668,253.0,3,1964.97,45849.3,654.99,4,4
CROCKETT,ngcc,bus_21108,247.4,18.62,49.35,3,742.2,17318.0,247.4,4,4
ELSOBRANTE,ngcc,bus_21108,125.2,16.88,35.19,3,375.6,8764.0,125.2,4,4
ELKGROVE_4,ngcc,bus_23099,89.75,17.825000000000006,20.88,3,269.25,6282.5,89.75,4,4
MODESTO,ngcc,bus_23099,564.8799999999999,12.014000000000001,143.61999999999995,3,1694.6399999999996,39541.59999999999,564.8799999999999,4,4
TURLOCK,ngcc,bus_23099,374.4,17.028333333333332,102.49,3,1123.1999999999998,26208.0,374.4,4,4
SPARKS,ngcc,bus_30001,369.6,10.195,98.46,3,1108.8000000000002,25872.0,369.6,4,4
YERINGTON,ngcc,bus_30001,230.0,20.28,68.02,3,690.0,16100.0,230.0,4,4
PITTSBURG,ngcc,bus_21681,1621.8199999999995,16.14142857142857,469.25,3,4865.459999999998,113527.39999999997,1621.8199999999995,4,4
ANTIOCH_5,ngcc,bus_21681,619.71,17.853333333333335,178.19,3,1859.13,43379.700000000004,619.71,4,4
SUISUNCITY,ngcc,bus_21681,141.0,17.37,44.51,3,423.0,9870.0,141.0,4,4
BYRON,ngcc,bus_21681,199.6,13.3375,75.93,3,598.8,13972.0,199.6,4,4
VACAVILLE,ngcc,bus_21681,60.5,17.74,26.37,3,181.5,4235.0,60.5,4,4
TRACY,ngcc,bus_21681,336.0900000000001,17.453333333333333,59.91,3,1008.2700000000002,23526.300000000007,336.0900000000001,4,4
YUBACITY_6,ngcc,bus_20428,636.0,11.986666666666665,229.74,3,1908.0,44520.0,636.0,4,4
HERALD,ngcc,bus_20428,530.01,19.11,186.49,3,1590.03,37100.7,530.01,4,4
LODI_7,ngcc,bus_20428,288.9,17.795,70.55,3,866.6999999999999,20223.0,288.9,4,4
SANTACLARA,ngcc,bus_21497,299.17000000000013,13.23846153846154,70.5,3,897.5100000000004,20941.90000000001,299.17000000000013,4,4
SANJOSE,coal,bus_21497,393.4,8.9025,99.91,4,1180.1999999999998,27538.0,129.822,12,12
STANFORD,ngcc,bus_21497,52.8,16.375,14.919999999999998,3,158.39999999999998,3696.0,52.8,4,4
GILROY,ngcc,bus_21497,265.0,14.956,99.12,3,795.0,18550.0,265.0,4,4
LODI_8,ngcc,bus_21497,77.4,18.005000000000006,18.95,3,232.20000000000002,5418.0,77.4,4,4
PITTSBURG_9,ngcc,bus_21646,1403.91,13.723333333333334,468.26,3,4211.7300000000005,98273.70000000001,1403.91,4,4
ANTIOCH_10,ngcc,bus_21165,47.0,19.28,19.29,3,141.0,3290.0,47.0,4,4
BENICIA,ngcc,bus_21165,98.0,17.04,44.6,3,294.0,6860.0,98.0,4,4
MARTINEZ,ngcc,bus_21165,213.48,17.885,60.17,3,640.4399999999999,14943.599999999999,213.48,4,4
ELSOBRANTE_11,ngcc,bus_21165,30.4,16.83,12.95,3,91.19999999999999,2128.0,30.4,4,4
OAKLAND,coal,bus_21140,223.5,11.126666666666665,58.33000000000001,4,670.5,15645.0,73.75500000000001,12,12
ALAMEDA,ngcc,bus_21140,83.3,8.73,26.53,3,249.89999999999998,5831.0,83.3,4,4
COYOTE,ngcc,bus_23377,635.01,18.426666666666666,198.49,3,1905.03,44450.7,635.01,4,4
SANJOAQUIN,ngcc,bus_23377,432.0,17.975,115.51,3,1296.0,30240.0,432.0,4,4
MOSSLANDING,ngcc,bus_23377,2802.0,17.338749999999994,1120.65,3,8406.0,196140.0,2802.0,4,4
LEMOORE,ngcc,bus_23230,186.0,6.076666666666667,49.39000000000001,3,558.0,13020.0,186.0,4,4
FIREBAUGH,ngcc,bus_23230,250.2,17.892500000000005,86.38,3,750.5999999999999,17514.0,250.2,4,4
SANJOAQUIN_12,ngcc,bus_23230,82.59,17.12333333333333,25.26,3,247.77,5781.3,82.59,4,4
COALINGA,ngcc,bus_23230,38.4,16.45,15.82,3,115.19999999999999,2688.0,38.4,4,4
HANFORD,ngcc,bus_23230,92.2,16.705,32.7,3,276.6,6454.0,92.2,4,4
BAKERSFIELD,coal,bus_23230,84.2,9.82,34.43,4,252.60000000000002,5894.0,27.786,12,12
DELANO,ngcc,bus_23230,48.5,19.94,17.35,3,145.5,3395.0,48.5,4,4
SANGER,ngcc,bus_23417,97.7,13.1675,31.930000000000003,3,293.1,6839.0,97.7,4,4
CHOWCHILLA,ngcc,bus_23417,49.61999999999999,2.48,13.43,3,148.85999999999996,3473.399999999999,49.61999999999999,4,4
TRONA,coal,bus_28401,92.49,10.828,26.66,4,277.46999999999997,6474.299999999999,30.5217,12,12
ONTARIO,ngcc,bus_28401,34.0,16.8,10.89,3,102.0,2380.0,34.0,4,4
RANCHOCUCAMONGA,ngcc,bus_28401,49.8,16.55,24.66,3,149.39999999999998,3486.0,49.8,4,4
SANARDO,ngcc,bus_26133,77.1,16.375,24.53,3,231.29999999999998,5397.0,77.1,4,4
KINGCITY,ngcc,bus_26133,180.5,18.326666666666664,43.56,3,541.5,12635.0,180.5,4,4
GOLETA,ngcc,bus_26133,107.3,17.353333333333335,42.62,3,321.9,7511.0,107.3,4,4
RIPON,ngcc,bus_23060,170.5,12.293333333333333,47.7,3,511.5,11935.0,170.5,4,4
LATHROP,ngcc,bus_23054,46.0,17.94,6.59,3,138.0,3220.0,46.0,4,4
JEAN,ngcc,bus_30220,695.91,14.22,287.04,3,2087.73,48713.7,695.91,4,4
BOULDERCITY,ngcc,bus_30220,536.01,21.61333333333333,152.18,3,1608.03,37520.7,536.01,4,4
LASVEGAS,ngcc,bus_30220,1597.62,20.797333333333327,530.66,3,4792.86,111833.4,1597.62,4,4
OXNARD,ngcc,bus_25829,2413.0999999999995,14.751666666666665,725.6300000000001,3,7239.299999999998,168916.99999999997,2413.0999999999995,4,4
CARSON,ngcc,bus_25385,247.71000000000004,8.222999999999999,78.35,3,743.1300000000001,17339.700000000004,247.71000000000004,4,4
LONGBEACH,ngcc,bus_25385,93.0,18.085,34.81,3,279.0,6510.0,93.0,4,4
ELSEGUNDO,ngcc,bus_25385,180.12,13.991666666666667,55.64,3,540.36,12608.4,180.12,4,4
TORRANCE,ngcc,bus_25385,49.3,5.696666666666666,13.3,3,147.89999999999998,3451.0,49.3,4,4
WILMINGTON,ngcc,bus_25385,107.4,17.386666666666667,38.88,3,322.20000000000005,7518.0,107.4,4,4
TUPMAN,ngcc,bus_26163,669.6,6.752000000000002,191.51,3,2008.8000000000002,46872.0,669.6,4,4
MCKITTRICK,ngcc,bus_26163,1645.3000000000004,19.03125,522.37,3,4935.9000000000015,115171.00000000003,1645.3000000000004,4,4
TAFT,ngcc,bus_26163,56.3,11.066666666666668,9.19,3,168.89999999999998,3941.0,56.3,4,4
FELLOWS,ngcc,bus_26163,273.1,18.4075,103.92,3,819.3000000000001,19117.0,273.1,4,4
NORWALK,ngcc,bus_25289,65.14999999999999,8.545,16.78,3,195.45,4560.499999999999,65.14999999999999,4,4
PASADENA,ngcc,bus_25289,89.3,17.63,34.980000000000004,3,267.9,6251.0,89.3,4,4
LOSANGELES,ngcc,bus_25289,170.79,13.310000000000002,63.87,3,512.37,11955.3,170.79,4,4
SUNVALLEY,ngcc,bus_25289,690.5,15.0875,169.24,3,2071.5,48335.0,690.5,4,4
NEWHALL,ngcc,bus_25289,161.10000000000005,11.355,55.3,3,483.3000000000002,11277.000000000004,161.10000000000005,4,4
BURBANK,ngcc,bus_25289,387.6,9.895,96.71,3,1162.8000000000002,27132.0,387.6,4,4
GLENDALE,ngcc,bus_25289,57.4,0.0,18.3,3,172.2,4018.0,57.4,4,4
CARSON_13,ngcc,bus_26097,405.0,14.963333333333333,135.72,3,1215.0,28350.0,405.0,4,4
LONGBEACH_14,ngcc,bus_26097,2173.98,17.062,657.3299999999998,3,6521.9400000000005,152178.6,2173.98,4,4
WILMINGTON_15,ngcc,bus_26097,548.11,18.215,163.17000000000004,3,1644.33,38367.700000000004,548.11,4,4
REDONDOBEACH,ngcc,bus_26097,1316.4,20.055,454.78,3,3949.2000000000003,92148.0,1316.4,4,4
PLAYADELREY,ngcc,bus_26097,823.1999999999998,20.293333333333337,271.8,3,2469.5999999999995,57623.999999999985,823.1999999999998,4,4
HUNTINGTONBEACH,ngcc,bus_26097,436.0,10.05,100.93,3,1308.0,30520.0,436.0,4,4
SUNCITY,ngcc,bus_26097,819.0,9.39,228.42,3,2457.0,57330.0,819.0,4,4
LAPUENTE,ngcc,bus_28013,500.0,18.526000000000003,152.42,3,1500.0,35000.0,500.0,4,4
WHITTIER,ngcc,bus_28013,29.94,7.38,13.76,3,89.82000000000001,2095.8,29.94,4,4
LONGBEACH_16,ngcc,bus_28013,1739.1100000000006,15.465454545454547,464.97000000000014,3,5217.330000000002,121737.70000000004,1739.1100000000006,4,4
REDLANDS,ngcc,bus_28013,1036.8,17.94,235.49,3,3110.3999999999996,72576.0,1036.8,4,4
RANCHOCUCAMONGA_17,ngcc,bus_28013,666.0,19.15,179.51,3,1998.0,46620.0,666.0,4,4
ANAHEIM,ngcc,bus_28013,270.2,12.397142857142857,72.77000000000002,3,810.5999999999999,18914.0,270.2,4,4
STANTON,ngcc,bus_28013,49.8,16.98,10.51,3,149.39999999999998,3486.0,49.8,4,4
BREA,ngcc,bus_28013,37.2,9.283999999999999,8.11,3,111.60000000000001,2604.0,37.2,4,4
PASADENA_18,ngcc,bus_25426,164.3,16.906666666666666,44.2,3,492.90000000000003,11501.0,164.3,4,4
LEBEC,ngcc,bus_25904,779.0,18.888,285.99,3,2337.0,54530.0,779.0,4,4
BURBANK_19,ngcc,bus_25400,170.2,18.14,29.41,3,510.59999999999997,11914.0,170.2,4,4
ELSEGUNDO_20,ngcc,bus_25403,537.4,18.0975,204.86,3,1612.1999999999998,37618.0,537.4,4,4
NORWALK_21,ngcc,bus_25675,22.05,0.0,6.83,3,66.15,1543.5,22.05,4,4
ELSEGUNDO_22,ngcc,bus_25938,342.0,17.75,113.75,3,1026.0,23940.0,342.0,4,4
LOSANGELES_23,ngcc,bus_25598,34.5,17.28,7.43,3,103.5,2415.0,34.5,4,4
POMONA,ngcc,bus_25714,56.6,9.285,11.84,3,169.8,3962.0,56.6,4,4
LOSANGELES_24,ngcc,bus_25268,42.99,5.386666666666668,16.6,3,128.97,3009.3,42.99,4,4
WILMINGTON_25,ngcc,bus_25375,68.5,9.86,27.75,3,205.5,4795.0,68.5,4,4
CARSON_26,ngcc,bus_25375,38.4,3.98,10.86,3,115.19999999999999,2688.0,38.4,4,4
FELLOWS_27,ngcc,bus_26051,605.4000000000002,11.443333333333333,111.57999999999998,3,1816.2000000000007,42378.000000000015,605.4000000000002,4,4
WHITTIER_28,ngcc,bus_25595,29.94,15.605,13.69,3,89.82000000000001,2095.8,29.94,4,4
GLENDALE_29,ngcc,bus_25618,243.52,16.98142857142857,62.36,3,730.5600000000001,17046.4,243.52,4,4
ESCONDIDO,ngcc,bus_28365,160.2,17.715000000000003,55.08000000000001,3,480.59999999999997,11214.0,160.2,4,4
CARLSBAD,ngcc,bus_28365,18.0,16.3,5.75,3,54.0,1260.0,18.0,4,4
BRAWLEY,ngcc,bus_28667,58.7,11.46,17.3,3,176.10000000000002,4109.0,58.7,4,4
COACHELLA,ngcc,bus_28667,92.4,17.67,28.25,3,277.20000000000005,6468.0,92.4,4,4
NILAND,ngcc,bus_28667,121.0,9.26,38.57,3,363.0,8470.0,121.0,4,4
SANDIEGO,ngcc,bus_28474,459.3,15.34,135.63,3,1377.9,32151.0,459.3,4,4
PALA,ngcc,bus_28474,118.0,17.85,50.89,3,354.0,8260.0,118.0,4,4
RANCHOSANTAFE,ngcc,bus_28474,33.0,10.323333333333332,9.31,3,99.0,2310.0,33.0,4,4
ESCONDIDO_30,ngcc,bus_28474,558.99,19.46333333333333,189.19,3,1676.97,39129.3,558.99,4,4
ELCAJON,ngcc,bus_28474,18.0,19.26,2.01,3,54.0,1260.0,18.0,4,4
CORONADO,ngcc,bus_28474,65.9,8.4625,12.38,3,197.70000000000002,4613.0,65.9,4,4
BLYTHE,ngcc,bus_29018,591.0,16.599999999999998,205.54,3,1773.0,41370.0,591.0,4,4
ELCENTRO,ngcc,bus_29018,358.30000000000007,18.133333333333333,105.86,3,1074.9,25081.000000000004,358.30000000000007,4,4
SANDIEGO_31,ngcc,bus_29018,688.5,19.92,216.56,3,2065.5,48195.0,688.5,4,4
YUMA,ngcc,bus_29018,134.82,19.97,60.39,3,404.46,9437.4,134.82,4,4
DESERTHOTSPRINGS,ngcc,bus_28302,807.1800000000003,15.695714285714285,218.66,3,2421.540000000001,56502.60000000002,807.1800000000003,4,4
ONTARIO_32,ngcc,bus_28302,80.6,10.39,25.75,3,241.79999999999998,5642.0,80.6,4,4
COLTON,ngcc,bus_28302,150.1,13.193333333333335,51.04,3,450.29999999999995,10507.0,150.1,4,4
VICTORVILLE,ngcc,bus_28302,872.0,14.5,314.97,3,2616.0,61040.0,872.0,4,4
CORONA,ngcc,bus_28302,96.0,11.743333333333334,22.33,3,288.0,6720.0,96.0,4,4
RIVERSIDE,ngcc,bus_28302,236.0,9.075,88.33,3,708.0,16520.0,236.0,4,4
ELCAJON_33,ngcc,bus_28527,98.6,19.17,28.4,3,295.79999999999995,6902.0,98.6,4,4
IRVINE,ngcc,bus_28060,39.0,16.09,10.22,3,117.0,2730.0,39.0,4,4
YUMA_34,ngcc,bus_40004,387.78,8.093,95.69,3,1163.34,27144.6,387.78,4,4
SANDIEGO_35,ngcc,bus_28549,83.1,15.868333333333334,18.96,3,249.29999999999998,5817.0,83.1,4,4
CHULAVISTA,ngcc,bus_28549,44.0,17.39,6.81,3,132.0,3080.0,44.0,4,4
GOLDENVALLEY,ngcc,bus_40006,130.0,13.31,33.97,3,390.0,9100.0,130.0,4,4
LAKEHAVASUCITY,ngcc,bus_40006,436.26,20.365,113.36,3,1308.78,30538.2,436.26,4,4
CARLSBAD_36,ngcc,bus_29027,981.6,19.19,258.76000000000005,3,2944.8,68712.0,981.6,4,4
BATTLEMOUNTAIN,coal,bus_30390,242.0,21.15,52.07,4,726.0,16940.0,79.86,12,12
VALMY,coal,bus_30390,567.0,21.18,231.03,4,1701.0,39690.0,187.11,12,12
SPARKS_37,ngcc,bus_30390,1032.9,17.8125,233.66,3,3098.7000000000003,72303.0,1032.9,4,4
HENDERSON,ngcc,bus_30207,127.2,20.11666666666667,31.42,3,381.6,8904.0,127.2,4,4
MOUNTAINHOME_38,ngcc,bus_74104,193.6,10.766666666666666,69.19,3,580.8,13552.0,193.6,4,4
LASVEGAS_39,ngcc,bus_30172,1345.61,17.91375,266.38000000000005,3,4036.83,94192.7,1345.61,4,4
LASVEGAS_40,ngcc,bus_30221,136.28,3.1166666666666667,27.750000000000004,3,408.84000000000003,9539.6,136.28,4,4
MOAPA,coal,bus_30146,294.8,19.87,132.05,4,884.4000000000001,20636.0,97.284,12,12
LASVEGAS_41,ngcc,bus_30146,664.71,14.81,183.24,3,1994.13,46529.700000000004,664.71,4,4
NORTHLASVEGAS,ngcc,bus_30146,358.92,20.67,117.58,3,1076.76,25124.4,358.92,4,4
LASVEGAS_42,ngcc,bus_30205,96.28,14.125,24.71,3,288.84000000000003,6739.6,96.28,4,4
LASVEGAS_43,ngcc,bus_30372,1465.62,13.848333333333334,385.16,3,4396.86,102593.4,1465.62,4,4
CHANDLER,ngcc,bus_40519,184.5,13.256666666666666,62.68000000000001,3,553.5,12915.0,184.5,4,4
TUCSON,ngcc,bus_40519,107.8,9.0125,29.86,3,323.4,7546.0,107.8,4,4
NOGALES,ngcc,bus_40563,108.0,14.185,27.39,3,324.0,7560.0,108.0,4,4
DOUGLAS,coal,bus_40563,26.1,0.0,7.8,4,78.30000000000001,1827.0,8.613000000000001,12,12
TEMPE,ngcc,bus_40309,30.0,13.5275,6.68,3,90.0,2100.0,30.0,4,4
PAGE,coal,bus_40786,2627.9700000000007,14.905,886.78,4,7883.910000000002,183957.90000000005,867.2301000000002,12,12
MOHAVEVALLEY,ngcc,bus_40008,708.0,14.296666666666667,278.15,3,2124.0,49560.0,708.0,4,4
LAKEHAVASUCITY_44,ngcc,bus_40008,218.13,21.13,103.98,3,654.39,15269.1,218.13,4,4
TEMPE_45,ngcc,bus_40739,907.1,14.568181818181815,255.11,3,2721.3,63497.0,907.1,4,4
SAINTJOHNS,coal,bus_40878,821.8,21.095,299.65,4,2465.3999999999996,57526.0,271.194,12,12
SPRINGERVILLE,coal,bus_40878,1765.8,14.9425,384.93,4,5297.4,123606.0,582.714,12,12
COCHISE,coal,bus_40515,660.68,13.25,160.30999999999997,4,1982.04,46247.6,218.02439999999999,12,12
TUCSON_46,coal,bus_40515,558.5,17.135,189.11,4,1675.5,39095.0,184.305,12,12
PHOENIX,ngcc,bus_40076,1207.38,15.3425,449.72000000000014,3,3622.1400000000003,84516.6,1207.38,4,4
ARLINGTON,ngcc,bus_40076,2998.820000000001,14.862142857142857,935.41,3,8996.460000000003,209917.40000000008,2998.820000000001,4,4
GLENDALE_47,ngcc,bus_40168,613.29,19.608333333333327,181.37000000000003,3,1839.87,42930.299999999996,613.29,4,4
CHANDLER_48,ngcc,bus_40824,726.0,20.58333333333333,184.71,3,2178.0,50820.0,726.0,4,4
CHANDLER_50,ngcc,bus_40310,9.2,19.27,3.12,3,27.599999999999998,644.0,9.2,4,4
TUCSON_51,ngcc,bus_40518,94.0,17.875,19.62,3,282.0,6580.0,94.0,4,4
CASAGRANDE,ngcc,bus_40369,646.11,20.516666666666666,164.05,3,1938.33,45227.700000000004,646.11,4,4
CHANDLER_52,ngcc,bus_40369,604.98,20.135,186.09,3,1814.94,42348.6,604.98,4,4
GILBERT,ngcc,bus_40369,1326.0,20.611666666666668,379.11,3,3978.0,92820.0,1326.0,4,4
GILABEND,ngcc,bus_40884,206.33,21.71,63.54,3,618.99,14443.1,206.33,4,4
TONOPAH,ngcc,bus_40912,1325.1,16.73,393.07000000000005,3,3975.2999999999997,92757.0,1325.1,4,4
